,JNAME,RA,DEC
0,J023813.2-333429.7,39.55496,-33.57492
1,J023841.3-341633.1,39.67225,-34.27586
2,J023851.7-341822.6,39.71562,-34.30628
3,J023912.0-341452.1,39.80017,-34.2478
4,J023917.1-334455.1,39.82137,-33.74863
5,J023918.3-341651.3,39.82612,-34.28091
6,J023928.8-341051.1,39.86996,-34.18086
7,J023929.1-342714.0,39.87133,-34.45389
8,J024000.8-341812.4,40.00335,-34.30346
9,J024008.1-343840.8,40.03354,-34.64467
10,J024012.4-341159.7,40.05187,-34.19992
11,J024026.0-343327.1,40.10821,-34.55752
12,J024038.7-335449.0,40.16133,-33.91362
13,J024054.5-342035.3,40.22729,-34.34315
14,J024330.4-334023.2,40.87671,-33.67311
