,JNAME,RA,DEC
0,J0328038.3-2821056.9,52.1595,-28.3658
1,J0329012.8-2802015.0,52.3033,-28.0375
2,J0329028.7-2819039.5,52.36963,-28.32763
3,J0329037.4-2846001.9,52.406,-28.7672
4,J032909.2-284825.4,52.28812,-28.80706
5,J032917.4-281538.9,52.32237,-28.26082
6,J0331002.5-2751030.6,52.7603,-27.8585
7,J0331036.3-2741059.3,52.9012,-27.6998
8,J0331053.2-2746019.0,52.97181,-27.77194
9,J033125.9-271327.2,52.85808,-27.22422
10,J033127.0-281811.1,52.8625,-28.30308
11,J0332006.4-2747028.8,53.0268,-27.79132
12,J033201.8-281302.7,53.00754,-28.21741
13,J0332011.4-2746050.0,53.04751,-27.78055
14,J0332013.0-2749046.1,53.05419,-27.82947
15,J0332014.8-2741057.2,53.06177,-27.69921
16,J0332015.8-2747013.6,53.06585,-27.78711
17,J0332018.7-2744012.6,53.07789,-27.73684
18,J0332019.0-2742042.8,53.07923,-27.71188
19,J0332019.8-2741022.8,53.08252,-27.68966
20,J0332019.9-2748031.1,53.08302,-27.80864
21,J0332020.3-2752032.9,53.08447,-27.87581
22,J0332023.0-2757031.9,53.09582,-27.95886
23,J0332024.3-2801014.5,53.1013,-28.0207
24,J0332024.5-2740010.5,53.10227,-27.66958
25,J0332025.8-2744030.9,53.10734,-27.74192
26,J0332026.1-2756030.3,53.10872,-27.94175
27,J0332026.8-2741014.7,53.11167,-27.68741
28,J0332030.3-2745023.6,53.12643,-27.75656
29,J0332031.1-2756012.3,53.12945,-27.93676
30,J0332036.0-2748011.9,53.14984,-27.8033
31,J0332038.1-2744032.6,53.1588,-27.7424
32,J0332038.2-2756053.2,53.1593,-27.9481
33,J0332039.6-2749009.6,53.16499,-27.81932
34,J0332041.6-2751057.5,53.17349,-27.86596
35,J0332045.2-2749039.9,53.18814,-27.82776
36,J0332046.4-2754013.9,53.1934,-27.90386
37,J0332048.6-2745004.6,53.20237,-27.75128
38,J0332055.0-2750051.6,53.2292,-27.84768
39,J0332056.2-2739033.1,53.2342,-27.6592
40,J033206.5-283729.2,53.02708,-28.62479
41,J033227.4-275520.4,53.11433,-27.92234
42,J033238.2-275653.2,53.15921,-27.94811
43,J033245.2-274940.5,53.18821,-27.82791
44,J0333005.9-2747044.8,53.27467,-27.79577
45,J0333048.1-2708001.3,53.4504,-27.1337
46,J0333054.4-2740052.0,53.4766,-27.6811
47,J0334029.0-2752059.9,53.621,-27.8833
48,J033410.7-281210.2,53.54454,-28.20284
49,J0335006.5-2710021.7,53.7771,-27.1727
50,J033502.0-270652.1,53.75817,-27.11448
