IMAGE,JNAME,RA,DEC
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0328038.3-2821056.png"")",J0328038.3-2821056,52.1595,-28.3658
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0329012.8-2802015.png"")",J0329012.8-2802015,52.3033,-28.0375
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0329028.7-2819039.png"")",J0329028.7-2819039,52.36963,-28.32763
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0329037.4-2846001.png"")",J0329037.4-2846001,52.406,-28.7672
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J032909.2-284825.4.png"")",J032909.2-284825.4,52.28812,-28.80706
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J032917.4-281538.9.png"")",J032917.4-281538.9,52.32237,-28.26082
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0331002.5-2751030.png"")",J0331002.5-2751030,52.7603,-27.8585
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0331036.3-2741059.png"")",J0331036.3-2741059,52.9012,-27.6998
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0331053.2-2746019.png"")",J0331053.2-2746019,52.97181,-27.77194
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033125.9-271327.2.png"")",J033125.9-271327.2,52.85808,-27.22422
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033127.0-281811.1.png"")",J033127.0-281811.1,52.8625,-28.30308
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332006.4-2747028.png"")",J0332006.4-2747028,53.0268,-27.79132
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033201.8-281302.7.png"")",J033201.8-281302.7,53.00754,-28.21741
