IMAGE,JNAME,RA,DEC
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332011.4-2746050.png"")",J0332011.4-2746050,53.04751,-27.78055
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332013.0-2749046.png"")",J0332013.0-2749046,53.05419,-27.82947
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332014.8-2741057.png"")",J0332014.8-2741057,53.06177,-27.69921
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332015.8-2747013.png"")",J0332015.8-2747013,53.06585,-27.78711
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332018.7-2744012.png"")",J0332018.7-2744012,53.07789,-27.73684
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332019.0-2742042.png"")",J0332019.0-2742042,53.07923,-27.71188
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332019.8-2741022.png"")",J0332019.8-2741022,53.08252,-27.68966
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332019.9-2748031.png"")",J0332019.9-2748031,53.08302,-27.80864
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332020.3-2752032.png"")",J0332020.3-2752032,53.08447,-27.87581
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332023.0-2757031.png"")",J0332023.0-2757031,53.09582,-27.95886
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332024.3-2801014.png"")",J0332024.3-2801014,53.1013,-28.0207
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332024.5-2740010.png"")",J0332024.5-2740010,53.10227,-27.66958
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332025.8-2744030.png"")",J0332025.8-2744030,53.10734,-27.74192
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332026.1-2756030.png"")",J0332026.1-2756030,53.10872,-27.94175
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332026.8-2741014.png"")",J0332026.8-2741014,53.11167,-27.68741
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332030.3-2745023.png"")",J0332030.3-2745023,53.12643,-27.75656
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332031.1-2756012.png"")",J0332031.1-2756012,53.12945,-27.93676
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332036.0-2748011.png"")",J0332036.0-2748011,53.14984,-27.8033
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332038.1-2744032.png"")",J0332038.1-2744032,53.1588,-27.7424
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332038.2-2756053.png"")",J0332038.2-2756053,53.1593,-27.9481
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332039.6-2749009.png"")",J0332039.6-2749009,53.16499,-27.81932
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332041.6-2751057.png"")",J0332041.6-2751057,53.17349,-27.86596
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332045.2-2749039.png"")",J0332045.2-2749039,53.18814,-27.82776
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332046.4-2754013.png"")",J0332046.4-2754013,53.1934,-27.90386
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332055.0-2750051.png"")",J0332055.0-2750051,53.2292,-27.84768
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0332056.2-2739033.png"")",J0332056.2-2739033,53.2342,-27.6592
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033206.5-283729.2.png"")",J033206.5-283729.2,53.02708,-28.62479
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033227.4-275520.4.png"")",J033227.4-275520.4,53.11433,-27.92234
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033238.2-275653.2.png"")",J033238.2-275653.2,53.15921,-27.94811
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033245.2-274940.5.png"")",J033245.2-274940.5,53.18821,-27.82791
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0333005.9-2747044.png"")",J0333005.9-2747044,53.27467,-27.79577
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0333048.1-2708001.png"")",J0333048.1-2708001,53.4504,-27.1337
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0333054.4-2740052.png"")",J0333054.4-2740052,53.4766,-27.6811
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0334029.0-2752059.png"")",J0334029.0-2752059,53.621,-27.8833
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033410.7-281210.2.png"")",J033410.7-281210.2,53.54454,-28.20284
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J0335006.5-2710021.png"")",J0335006.5-2710021,53.7771,-27.1727
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/ECDFS/J033502.0-270652.1.png"")",J033502.0-270652.1,53.75817,-27.11448
