,JNAME,RA,DEC
0,J035248.4-492813.7,58.20175,-49.47048
1,J035618.5-480517.3,59.07704,-48.08813
2,J035713.6-475649.3,59.30683,-47.94704
3,J035755.6-485952.5,59.48179,-48.99792
